Activity Period,Activity Period Start Date,Operating Airline,Operating Airline IATA Code,Published Airline,Published Airline IATA Code,GEO Summary,GEO Region,Activity Type Code,Price Category Code,Terminal,Boarding Area,Passenger Count,data_as_of,data_loaded_at
199907,1999/07/01,ATA Airlines,TZ,ATA Airlines,TZ,Domestic,US,Deplaned,Low Fare,Terminal 1,B,31432,2023/11/20 07:01:34 AM,2023/11/20 07:02:25 AM
199907,1999/07/01,ATA Airlines,TZ,ATA Airlines,TZ,Domestic,US,Enplaned,Low Fare,Terminal 1,B,31353,2023/11/20 07:01:34 AM,2023/11/20 07:02:25 AM
199907,1999/07/01,ATA Airlines,TZ,ATA Airlines,TZ,Domestic,US,Thru / Transit,Low Fare,Terminal 1,B,2518,2023/11/20 07:01:34 AM,2023/11/20 07:02:25 AM
199907,1999/07/01,Aeroflot Russian International Airlines,,Aeroflot Russian International Airlines,,International,Europe,Deplaned,Other,Terminal 2,D,1324,2023/11/20 07:01:34 AM,2023/11/20 07:02:25 AM
199907,1999/07/01,Aeroflot Russian International Airlines,,Aeroflot Russian International Airlines,,International,Europe,Enplaned,Other,Terminal 2,D,1198,2023/11/20 07:01:34 AM,2023/11/20 07:02:25 AM
199907,1999/07/01,Air Canada,AC,Air Canada,AC,International,Canada,Deplaned,Other,Terminal 1,B,24124,2023/11/20 07:01:34 AM,2023/11/20 07:02:25 AM
199907,1999/07/01,Air Canada,AC,Air Canada,AC,International,Canada,Enplaned,Other,Terminal 1,B,23613,2023/11/20 07:01:34 AM,2023/11/20 07:02:25 AM
199907,1999/07/01,Air China,CA,Air China,CA,International,Asia,Deplaned,Other,Terminal 2,D,4983,2023/11/20 07:01:34 AM,2023/11/20 07:02:25 AM
199907,1999/07/01,Air China,CA,Air China,CA,International,Asia,Enplaned,Other,Terminal 2,D,4604,2023/11/20 07:01:34 AM,2023/11/20 07:02:25 AM
199907,1999/07/01,Air Europe,PE,Air Europe,PE,International,Europe,Deplaned,Other,Terminal 2,D,205,2023/11/20 07:01:34 AM,2023/11/20 07:02:25 AM
199907,1999/07/01,Air France,AF,Air France,AF,International,Europe,Deplaned,Other,Terminal 2,D,10118,2023/11/20 07:01:34 AM,2023/11/20 07:02:25 AM
199907,1999/07/01,Air France,AF,Air France,AF,International,Europe,Enplaned,Other,Terminal 2,D,9093,2023/11/20 07:01:34 AM,2023/11/20 07:02:25 AM
199907,1999/07/01,Alaska Airlines,AS,Alaska Airlines,AS,Domestic,US,Deplaned,Other,Terminal 2,D,41433,2023/11/20 07:01:34 AM,2023/11/20 07:02:25 AM
199907,1999/07/01,Alaska Airlines,AS,Alaska Airlines,AS,Domestic,US,Enplaned,Other,Terminal 2,D,47409,2023/11/20 07:01:34 AM,2023/11/20 07:02:25 AM
199907,1999/07/01,Alaska Airlines,AS,Alaska Airlines,AS,Domestic,US,Thru / Transit,Other,Terminal 2,D,4135,2023/11/20 07:01:34 AM,2023/11/20 07:02:25 AM
199907,1999/07/01,Alaska Airlines,AS,Alaska Airlines,AS,International,Canada,Deplaned,Other,Terminal 2,D,9595,2023/11/20 07:01:34 AM,2023/11/20 07:02:25 AM
199907,1999/07/01,Alaska Airlines,AS,Alaska Airlines,AS,International,Canada,Enplaned,Other,Terminal 2,D,10082,2023/11/20 07:01:34 AM,2023/11/20 07:02:25 AM
199907,1999/07/01,Alaska Airlines,AS,Alaska Airlines,AS,International,Canada,Thru / Transit,Other,Terminal 2,D,277,2023/11/20 07:01:34 AM,2023/11/20 07:02:25 AM
199907,1999/07/01,Alaska Airlines,AS,Alaska Airlines,AS,International,Mexico,Deplaned,Other,Terminal 2,D,6266,2023/11/20 07:01:34 AM,2023/11/20 07:02:25 AM
199907,1999/07/01,Alaska Airlines,AS,Alaska Airlines,AS,International,Mexico,Enplaned,Other,Terminal 2,D,6765,2023/11/20 07:01:34 AM,2023/11/20 07:02:25 AM
199907,1999/07/01,Alaska Airlines,AS,Alaska Airlines,AS,International,Mexico,Thru / Transit,Other,Terminal 2,D,1056,2023/11/20 07:01:34 AM,2023/11/20 07:02:25 AM
199907,1999/07/01,Alitalia Airlines,AZ,Alitalia Airlines,AZ,International,Europe,Deplaned,Other,Terminal 2,D,4229,2023/11/20 07:01:34 AM,2023/11/20 07:02:25 AM
199907,1999/07/01,Alitalia Airlines,AZ,Alitalia Airlines,AZ,International,Europe,Enplaned,Other,Terminal 2,D,5624,2023/11/20 07:01:34 AM,2023/11/20 07:02:25 AM
